# StartTime = 06/20/2023 01:48:03.3530 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Mass air flow rate (lb/min), Absolute load value (%), Mass air flow rate (lb/min).1, Engine Power (hp), Calculated load value (%), Time since engine start (sec), Ambient air temperature (°F), Intake manifold absolute pressure (inHg), Fuel system 1 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Compressor Speed (RPM), Compressor Target Speed (RPM), Room Temperature Sensor (°F), Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), Hybrid battery pack remaining life (%), Traction Battery Pack Performance Retention Rate (%), Boost (psi), Acceleration (ft/s²), Vehicle Speed (MPH), Adjusted Ambient Temperature (°F), Motor Actual Current (A), Motor Power Supply Voltage (V), Battery Voltage (V), Aircon Consumption Power (kW), Battery Block Max Voltage (V), Cooling Fan 0 (%), Status of the Aircon Gate Status / OFF or ON, Battery Voltage (V).1, Status of the Engine Condition/ Stop or Run, Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Status of the Remote A/C Power Supply Request/ OFF or ON, Fuel injection timing (deg), Enhanced Hybrid/EV Charging State, Engine Torque (lb•ft), Set Temperature (Driver Side) (°F), Solar Sensor (Driver Side), Solar Ventilation Switch, Fuel Input (gal), Vehicle Load (%), Calculate Load (%), Total Weight Information (lbs)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
1.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
2.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
3.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
4.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
5.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
6.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
9.798,0.0,38.53833,0.0,0.0,0.0,0.0,1292.75,0.920808,30.19608,1.057125,0.0,60.39216,11,86.0,0.0,2,0.0,0.0,0.0,0.0,85.82,13,4146,3863,109.85,1292.0,93.875,91.4,65.88235,0,-7.541962,0.0,0.0,85.424,-0.03,27.048,14.472,1.3,15.45898,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,43,0,11.62357,29.80392,60.39216,0
10.799,0.0,38.53833,0.0,0.0,0.0,0.0,1292.75,0.920808,30.19608,1.057125,0.0,60.39216,11,86.0,0.0,2,0.0,0.0,0.0,0.0,85.82,13,4146,3863,109.85,1292.0,93.875,91.4,65.88235,0,-7.541962,0.0,0.0,85.424,-0.03,27.048,14.472,1.3,15.45898,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,43,0,11.62357,29.80392,60.39216,0
11.804,0.0,38.53833,0.0,0.0,0.0,0.0,1292.75,0.920808,30.19608,1.057125,0.0,60.39216,11,86.0,0.0,2,0.0,0.0,0.0,0.0,85.82,13,4146,3863,109.85,1292.0,93.875,91.4,65.88235,0,-7.541962,0.0,0.0,85.424,-0.03,27.048,14.472,1.3,15.45898,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,43,0,11.62357,29.80392,60.39216,0
12.798,0.0,38.53833,0.0,0.0,0.0,0.0,1292.75,0.920808,30.19608,1.057125,0.0,60.39216,11,86.0,0.0,2,0.0,0.0,0.0,0.0,85.82,13,4146,3863,109.85,1292.0,93.875,91.4,65.88235,0,-7.541962,0.0,0.0,85.424,-0.03,27.048,14.472,1.3,15.45898,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,43,0,11.62357,29.80392,60.39216,0
14.797,0.0,38.53833,0.0,0.0,0.0,0.0,1292.75,0.920808,30.19608,1.057125,0.0,60.39216,11,86.0,0.0,2,0.0,0.0,0.0,0.0,85.82,13,4146,3863,109.85,1292.0,93.875,91.4,65.88235,0,-7.541962,0.0,0.0,85.424,-0.03,27.048,14.472,1.3,15.45898,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,43,0,11.62357,29.80392,60.39216,0
15.801,0.0,38.52828,0.5961483,0.0,90.48741,0.1947004,1306.25,0.920808,30.19608,1.019477,8.173856,60.39216,11,86.0,12.93628,2,0.0,0.001203735,0.0,0.2472387,85.82,13,3847,3880,109.4,1289.0,93.875,91.4,65.88235,0,-7.251887,0.0,1.59071,85.424,0.96,27.048,14.472,1.35,15.21973,0.0,1,14.3,0,0,0,0,0,0,0,32.86508,92.3,43,0,11.62357,23.13725,50.58823,0
16.806,0.0,38.52828,0.5961483,0.0,90.48741,0.1947004,1306.25,0.920808,30.19608,1.019477,8.173856,60.39216,11,86.0,12.93628,2,0.0,0.001203735,0.0,0.2472387,85.82,13,3847,3880,109.4,1289.0,93.875,91.4,65.88235,0,-7.251887,0.0,1.59071,85.424,0.96,27.048,14.472,1.35,15.21973,0.0,1,14.3,0,0,0,0,0,0,0,32.86508,92.3,43,0,11.62357,23.13725,50.58823,0
17.805,0.0,38.52828,0.5961483,0.0,90.48741,0.1947004,1306.25,0.920808,30.19608,1.019477,8.173856,60.39216,11,86.0,12.93628,2,0.0,0.001203735,0.0,0.2472387,85.82,13,3847,3880,109.4,1289.0,93.875,91.4,65.88235,0,-7.251887,0.0,1.59071,85.424,0.96,27.048,14.472,1.35,15.21973,0.0,1,14.3,0,0,0,0,0,0,0,32.86508,92.3,43,0,11.62357,23.13725,50.58823,0
18.805,0.0,38.52828,0.5961483,0.0,90.48741,0.1947004,1306.25,0.920808,30.19608,1.019477,8.173856,60.39216,11,86.0,12.93628,2,0.0,0.001203735,0.0,0.2472387,85.82,13,3847,3880,109.4,1289.0,93.875,91.4,65.88235,0,-7.251887,0.0,1.59071,85.424,0.96,27.048,14.472,1.35,15.21973,0.0,1,14.3,0,0,0,0,0,0,0,32.86508,92.3,43,0,11.62357,23.13725,50.58823,0
19.801,0.0,38.52828,0.5961483,0.0,90.48741,0.1947004,1306.25,0.920808,30.19608,1.019477,8.173856,60.39216,11,86.0,12.93628,2,0.0,0.001203735,0.0,0.2472387,85.82,13,3847,3880,109.4,1289.0,93.875,91.4,65.88235,0,-7.251887,0.0,1.59071,85.424,0.96,27.048,14.472,1.35,15.21973,0.0,1,14.3,0,0,0,0,0,0,0,32.86508,92.3,43,0,11.62357,23.13725,50.58823,0
20.808,7.005721,38.52183,0.4434741,2.797119,90.50595,0.1448374,1292.0,0.685314,22.35294,0.8402962,6.080523,50.58823,11,86.0,9.528363,2,0.006636979,0.0021499,3.08711,0.3455913,85.82,13,3922,3920,108.95,1355.25,93.875,91.4,65.88235,0,-8.412189,0.2962585,3.976776,85.424,10.64,27.146,14.453,1.35,14.39941,0.0,1,14.3,0,0,0,0,0,0,0,24.71795,92.3,43,0,11.3594,27.45098,58.43137,0
21.804,7.005721,38.52183,0.4434741,2.797119,90.50595,0.1448374,1292.0,0.685314,22.35294,0.8402962,6.080523,50.58823,11,86.0,9.528363,2,0.006636979,0.0021499,3.08711,0.3455913,85.82,13,3922,3920,108.95,1355.25,93.875,91.4,65.88235,0,-8.412189,0.2962585,3.976776,85.424,10.64,27.146,14.453,1.35,14.39941,0.0,1,14.3,0,0,0,0,0,0,0,24.71795,92.3,43,0,11.3594,27.45098,58.43137,0
